SourceFile,GPSLatitude,GPSLatitudeRef,GPSLongitude,GPSLongitudeRef,GPSAltitude,GPSAltitudeRef
C:/Users/danil/Desktop/Frames/frame1012.png,59.9580045610711,59.9580045610711,30.336659855479944,30.336659855479944,13.310640600285868,13.310640600285868
C:/Users/danil/Desktop/Frames/frame1013.png,59.958004402895185,59.958004402895185,30.33665356910206,30.33665356910206,13.30577603915236,13.30577603915236
C:/Users/danil/Desktop/Frames/frame1014.png,59.958004130404454,59.958004130404454,30.336647366916395,30.336647366916395,13.308665288717233,13.308665288717233
C:/Users/danil/Desktop/Frames/frame1015.png,59.95800398713527,59.95800398713527,30.336641188144753,30.336641188144753,13.309507951399507,13.309507951399507
C:/Users/danil/Desktop/Frames/frame1016.png,59.95800361133005,59.95800361133005,30.33663462240229,30.33663462240229,13.292791341140893,13.292791341140893
C:/Users/danil/Desktop/Frames/frame1017.png,59.958003467182884,59.958003467182884,30.33662941093741,30.33662941093741,13.298845021960204,13.298845021960204
C:/Users/danil/Desktop/Frames/frame1018.png,59.95800325105083,59.95800325105083,30.33662312355534,30.33662312355534,13.302090507981164,13.302090507981164
C:/Users/danil/Desktop/Frames/frame1019.png,59.95800309979236,59.95800309979236,30.336616764448596,30.336616764448596,13.270168035323325,13.270168035323325
C:/Users/danil/Desktop/Frames/frame1020.png,59.95800306545176,59.95800306545176,30.336610918529164,30.336610918529164,13.279258433411025,13.279258433411025
C:/Users/danil/Desktop/Frames/frame1021.png,59.95800272700654,59.95800272700654,30.336605336660963,30.336605336660963,13.274887032630179,13.274887032630179
C:/Users/danil/Desktop/Frames/frame1022.png,59.95800250143961,59.95800250143961,30.336599168371702,30.336599168371702,13.263299677647252,13.263299677647252
C:/Users/danil/Desktop/Frames/frame1023.png,59.958002494215314,59.958002494215314,30.336593214436707,30.336593214436707,13.243531569165313,13.243531569165313
C:/Users/danil/Desktop/Frames/frame1024.png,59.958002220213146,59.958002220213146,30.33658720451297,30.33658720451297,13.258276913857001,13.258276913857001
C:/Users/danil/Desktop/Frames/frame1025.png,59.95800209949736,59.95800209949736,30.336581427806514,30.336581427806514,13.270593273944012,13.270593273944012
C:/Users/danil/Desktop/Frames/frame1026.png,59.95800196296945,59.95800196296945,30.33657508628549,30.33657508628549,13.23287702614514,13.23287702614514
C:/Users/danil/Desktop/Frames/frame1027.png,59.95800159308079,59.95800159308079,30.336569000776393,30.336569000776393,13.233865114196275,13.233865114196275
C:/Users/danil/Desktop/Frames/frame1028.png,59.958001437103874,59.958001437103874,30.336562538921903,30.336562538921903,13.23862061887114,13.23862061887114
C:/Users/danil/Desktop/Frames/frame1029.png,59.958001296600756,59.958001296600756,30.33655631727789,30.33655631727789,13.239875798401483,13.239875798401483
C:/Users/danil/Desktop/Frames/frame1030.png,59.958001206665735,59.958001206665735,30.336549834099333,30.336549834099333,13.19738848203045,13.19738848203045
C:/Users/danil/Desktop/Frames/frame1031.png,59.95800117638897,59.95800117638897,30.336543336428424,30.336543336428424,13.189883783587062,13.189883783587062
C:/Users/danil/Desktop/Frames/frame1032.png,59.95800072791363,59.95800072791363,30.336536651814303,30.336536651814303,13.174339503285568,13.174339503285568
C:/Users/danil/Desktop/Frames/frame1033.png,59.958000659078564,59.958000659078564,30.336531630018033,30.336531630018033,13.157183145473434,13.157183145473434
