nord,east,alt,speed,vf,vl,vu,yaw,pitch,roll,af,al,au,wf,wl,wu,numsats,satellitesInView,profile,fixQuality,HDOP,timestamp,grabMsec,episode
59.9587493,30.3451214,7.981,4.15,0.0,0.0,0.0,-3.4715663473010934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,43,0,4,0.68,2024-07-19T11: 52: 00.300+03: 00,41370,new.004.001.
59.9587456,30.3451188,7.969,4.247,0.0,0.0,0.0,-3.482460692492042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,43,0,4,0.66,2024-07-19T11: 52: 00.400+03: 00,41471,new.004.001.
59.958742,30.3451163,7.97,4.249,0.0,0.0,0.0,-3.476790117752312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,43,0,4,0.66,2024-07-19T11: 52: 00.500+03: 00,41569,new.004.001.
59.9587384,30.3451137,7.965,4.268,0.0,0.0,0.0,-3.478879276866949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,43,0,4,0.66,2024-07-19T11: 52: 00.600+03: 00,41669,new.004.001.
59.9587348,30.3451112,7.967,4.321,0.0,0.0,0.0,-3.481376843026553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,43,0,4,0.66,2024-07-19T11: 52: 00.700+03: 00,41770,new.004.001.
59.9587311,30.3451086,7.963,4.32,0.0,0.0,0.0,-3.4796908549691263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,43,0,4,0.66,2024-07-19T11: 52: 00.800+03: 00,41869,new.004.001.
59.9587274,30.345106,7.961,4.376,0.0,0.0,0.0,-3.477467305502086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,43,0,4,0.66,2024-07-19T11: 52: 00.900+03: 00,41969,new.004.001.
59.9587237,30.3451034,7.96,4.374,0.0,0.0,0.0,-3.4752926252541005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,43,0,4,0.66,2024-07-19T11: 52: 01.000+03: 00,42074,new.004.001.
59.9587198,30.3451008,7.954,4.512,0.0,0.0,0.0,-3.4786366761009226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,43,0,4,0.66,2024-07-19T11: 52: 01.100+03: 00,42167,new.004.001.
59.958716,30.3450981,7.948,4.471,0.0,0.0,0.0,-3.477476032148346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,43,0,4,0.67,2024-07-19T11: 52: 01.200+03: 00,42270,new.004.001.
59.9587121,30.3450955,7.951,4.606,0.0,0.0,0.0,-3.469206662152397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,43,0,4,0.67,2024-07-19T11: 52: 01.300+03: 00,42372,new.004.001.
59.9587082,30.3450929,7.957,4.581,0.0,0.0,0.0,-3.461239234117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,43,0,4,0.67,2024-07-19T11: 52: 01.400+03: 00,42475,new.004.001.
